,Price to nearest 200,Neighbourhood,Latitude,Longitude
0,600.0,Vanløse,55.69520565567057,12.511293108812785
2,600.0,Vanløse,55.69523474354058,12.507283859127154
3,600.0,Amagerbro,55.664765495887956,12.614418747491374
5,1000.0,,55.66325915391362,12.628307017523348
6,600.0,Amager Øst,55.65669161627397,12.609505449062533
11,1000.0,,55.704240368077144,12.477863835215022
12,600.0,Brønshøj,55.70126205975225,12.474425857466034
13,600.0,Brønshøj,55.70625429790327,12.493988110775248
14,600.0,Brønshøj,55.70317440474654,12.481209474034806
15,1000.0,Brønshøj,55.71367423182607,12.510423860626647
16,400.0,Brønshøj,55.71578291498319,12.460410110289404
19,800.0,Østerbro,55.709595041834746,12.585134658496045
20,800.0,,55.7079840064261,12.589700713522518
21,600.0,Østerbro,55.70024663461301,12.584989143935573
23,400.0,Østerbro,55.70725320050214,12.584711982611266
25,600.0,Østerbro,55.70624335480765,12.583101414402966
27,600.0,Østerbro,55.712239223722584,12.574454616361306
28,200.0,,55.708472498762426,12.568956851964042
30,200.0,Østerbro,55.7071678824145,12.584261566645438
31,400.0,Østerbro,55.70384870168301,12.587415615400555
33,400.0,Østerbro,55.7084340845924,12.581414962460794
38,600.0,Østerbro,55.70336608174632,12.596324746573494
39,800.0,Østerbro,55.69892599979988,12.594162873064885
40,400.0,Østerbro,55.70544745775833,12.588925291241852
41,400.0,,55.713397467680046,12.572988227294006
42,1000.0,Østerbro,55.705047131924246,12.590554008123624
44,800.0,,55.72846531628975,12.575891430927351
48,800.0,Østerbro,55.7002118992801,12.588465112776712
49,600.0,Østerbro,55.70745760035813,12.585246881646842
50,800.0,Østerbro,55.70315495075953,12.588187656028552
52,600.0,Østerbro,55.69684471189114,12.57306888624024
53,600.0,Østerbro,55.699491085945816,12.587696552904436
54,400.0,Østerbro,55.70642213579793,12.583919873171167
55,400.0,Nørrebro,55.693467424342145,12.539244083141112
56,200.0,Nørrebro,55.69331745423907,12.559086449412705
57,400.0,,55.69570015658771,12.554841066951564
58,600.0,Nørrebro,55.691346685156795,12.546791807320087
59,800.0,Nørrebro,55.69269082152608,12.545630837200699
60,600.0,Nørrebro,55.6878589297783,12.546199521958082
61,600.0,Nørrebro,55.701375760026465,12.543524363056864
62,600.0,Nørrebro,55.6975411086665,12.553860586345484
64,600.0,Valby,55.66648755206541,12.511847030027466
65,800.0,,55.65654641617336,12.508353486922
67,400.0,Valby,55.669001903899144,12.489299741541302
68,600.0,,55.66245681536014,12.4813813050638
69,200.0,Valby,55.65890464616968,12.52115032702376
70,600.0,,55.67060399528143,12.492882429656131
71,400.0,,55.6656950790751,12.519251580287142
73,600.0,Valby,55.66642228413897,12.507806432719086
74,1000.0,Valby,55.667271184231396,12.481646055969994
75,200.0,Valby,55.665335816853364,12.513316716483883
76,200.0,Valby,55.66789014636176,12.499817694097018
77,800.0,Valby,55.65701087515292,12.480663434813625
78,400.0,Valby,55.66048007272492,12.51933922911132
80,400.0,Valby,55.66470033853293,12.516083394639642
81,600.0,Valby,55.66532075642474,12.52010638296442
82,600.0,Amager Vest,55.61784992312566,12.569868545814652
84,600.0,,55.66010375445814,12.604519794176893
86,400.0,,55.63220705684591,12.580004967919528
87,400.0,Islands Brygge,55.6599509344285,12.570090113449211
90,800.0,,55.65744312855004,12.57025403582964
91,800.0,Islands Brygge,55.66352431094448,12.582274109832962
92,400.0,Amager Vest,55.65879313832555,12.606397312052549
93,600.0,Amager Vest,55.66511804341109,12.599113610157184
95,1000.0,Amager Vest,55.650435043612674,12.610692061263974
98,800.0,Amager Vest,55.61800442235594,12.570066262705096
100,600.0,Islands Brygge,55.66659330748487,12.579499530133972
102,400.0,Islands Brygge,55.663224560581284,12.57889774757108
103,600.0,Islands Brygge,55.66591276176725,12.581047089540766
104,800.0,Kastrup,55.61963537045416,12.57799461753642
105,400.0,Islands Brygge,55.66459495132255,12.582850407789758
106,800.0,Islands Brygge,55.667460866854974,12.580984307031601
107,800.0,,55.665544680764725,12.578087858569994
108,400.0,Amager Vest,55.66534987273915,12.595326889140036
109,800.0,,55.680226142399185,12.539699734052752
110,800.0,Frederiksberg,55.67693511372987,12.550396855232938
111,600.0,,55.69119715217153,12.534039700076905
114,600.0,,55.677644736167295,12.49587230125109
115,800.0,Frederiksberg,55.67921508902835,12.521488225642145
116,800.0,,55.68481103981957,12.525888333353233
117,800.0,,55.67477870537172,12.547885840808418
118,800.0,,55.68173720771365,12.545498118691974
120,800.0,Frederiksberg,55.681132077036544,12.5522285149869
121,600.0,Frederiksberg,55.6836962420862,12.534538059172483
124,800.0,Frederiksberg,55.68308908645236,12.552447687256127
125,800.0,,55.69340778612254,12.529122568214525
128,400.0,Frederiksberg,55.692791547969186,12.53150690266598
129,600.0,Frederiksberg,55.678623340083846,12.529287046363207
131,800.0,Frederiksberg,55.68480064837706,12.550325646024385
132,600.0,Frederiksberg,55.683864064832456,12.5366911238099
133,800.0,Frederiksberg,55.68133205942629,12.498401389273312
135,600.0,Frederiksberg,55.69036617044392,12.531250967486045
137,400.0,Frederiksberg,55.693386532728425,12.531897254459613
138,800.0,,55.672153009544424,12.537981455501884
139,1000.0,Frederiksberg,55.68216185146288,12.540262266435821
140,600.0,Frederiksberg,55.682379197255784,12.515248532024653
141,1000.0,Frederiksberg,55.68312031823841,12.511189367750552
142,600.0,Frederiksberg,55.68416987689578,12.532764817542331
144,600.0,,55.693682751941424,12.53292963372635
145,600.0,,55.68175188632453,12.547911688843934
147,200.0,Brønshøj,55.704120473332594,12.50477215388228
148,400.0,Brønshøj,55.70365528740635,12.492780901981211
150,200.0,Østerbro,55.70520904567022,12.58505484132947
151,800.0,Brønshøj,55.70335752366586,12.500951181408073
153,800.0,,55.70562940673163,12.504897740075279
157,600.0,,55.71038006675844,12.578447728866026
158,800.0,Østerbro,55.70029460475442,12.58636584350776
159,400.0,Østerbro,55.71584880678792,12.570897990530947
160,800.0,Østerbro,55.69862127005258,12.580533232613414
161,600.0,Østerbro,55.713659962595216,12.569113376090838
163,800.0,,55.70259541869768,12.579553934502668
165,400.0,,55.70213772076806,12.573580911119489
166,1000.0,,55.69698983404832,12.575709840231662
168,600.0,Østerbro,55.69607858795985,12.569432289935277
170,400.0,Østerbro,55.70726274355983,12.594199979549696
171,400.0,Østerbro,55.703265958226716,12.588859524223153
172,400.0,Østerbro,55.70238106768127,12.582697459977911
173,400.0,Østerbro,55.69664143245541,12.575505705940776
174,400.0,Østerbro,55.71010315144887,12.557513622720895
177,200.0,Østerbro,55.70507517341321,12.582873915100038
178,400.0,Østerbro,55.70886802052169,12.588775586592202
179,600.0,Østerbro,55.70858999334544,12.568933916025715
180,400.0,Østerbro,55.70720578719766,12.559582745142796
181,400.0,,55.699455273197,12.589828630429821
183,600.0,Østerbro,55.69838494203066,12.587584847162466
186,400.0,Østerbro,55.70628030350883,12.584940933015925
187,600.0,Østerbro,55.70578860350602,12.5794641373424
188,400.0,,55.70303449479654,12.591250138051846
191,400.0,Indre By,55.680575977204654,12.570826332558054
198,800.0,Indre By,55.678157251774294,12.567575540347619
199,800.0,Indre By,55.684780330653645,12.585337167610627
200,800.0,Indre By,55.68247683305781,12.587807823812186
202,600.0,,55.686720975206434,12.589425226585913
204,600.0,Nørrebro,55.68484851598482,12.558550220131805
205,400.0,Nørrebro,55.69086484433172,12.562917054928562
206,1000.0,Nørrebro,55.684756751924496,12.557880259827412
207,600.0,Nørrebro,55.69905067487139,12.551192663088242
208,600.0,Nørrebro,55.6944655309311,12.552637472046685
209,600.0,Nørrebro,55.69142445757245,12.55805775401936
210,800.0,,55.70211506714207,12.54358502178717
213,600.0,Nørrebro,55.6866503431749,12.556011225641525
215,1000.0,Nørrebro,55.69013406725358,12.559196031896837
216,400.0,Nørrebro,55.68901443289053,12.56088110304932
218,600.0,Nørrebro,55.68686041988239,12.545582944214482
219,600.0,Nørrebro,55.68809515594064,12.550831824629455
220,1000.0,Nørrebro,55.7004714953724,12.554676027461277
221,600.0,Nørrebro,55.69128906239908,12.545333703363118
222,400.0,,55.697978980785244,12.550136530263588
223,400.0,Nørrebro,55.70108122947505,12.53976192725023
224,800.0,Nørrebro,55.68987955847843,12.555387227089517
225,600.0,Nørrebro,55.69625731324132,12.546782686436062
226,400.0,Nørrebro,55.69127209587858,12.567668012297725
227,400.0,Nørrebro,55.70061343667389,12.551261758047572
228,600.0,Nørrebro,55.69608182612625,12.549722844554918
230,400.0,Frederiksberg,55.68774373986097,12.538466285593286
232,600.0,Frederiksberg,55.68091174866894,12.522116256583436
233,400.0,Frederiksberg,55.67770419648815,12.540316196782127
234,400.0,,55.69222194443026,12.531356044891567
235,800.0,,55.67188129734806,12.533640153029197
241,600.0,Frederiksberg,55.676962813281314,12.518763597155113
242,400.0,,55.681769450026685,12.509828862582744
243,1000.0,Frederiksberg,55.68059260333273,12.54586401002992
244,400.0,Frederiksberg,55.69194366104333,12.530946611583062
245,400.0,,55.68059765144948,12.550449663322327
246,400.0,Frederiksberg,55.6727609381181,12.501348407669349
247,600.0,Frederiksberg,55.68395282071339,12.532045086397282
248,600.0,,55.679267593499524,12.547887267638641
